Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,5.72467459547532E-09,0.0159202797459075,0.0194791934838799,0,0,0,0.284211086498301,0.000361064358674811,5.3486352288648E-11,-9.68382318932767E-12,0.000163704844526669,1.26663197260185E-08,0.000503898022090358,0,0,0,0,0,0,package://sc/meshes/BASE.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/BASE.STL,,B3-1;B3-2;Leg0Ase-1/L1.0-1;Leg0Ase-2/L1.0-1;Leg0Ase-3/L1.0-1;Leg0Ase-3/SG90 - Micro Servo 9g - Tower Pro.1-1;Leg0Ase-2/SG90 - Micro Servo 9g - Tower Pro.1-1;Leg0Ase-1/SG90 - Micro Servo 9g - Tower Pro.1-1;H1.0x-2;SG90 - Micro Servo 9g - Tower Pro.1-1;H1.0x-3;SG90 - Micro Servo 9g - Tower Pro.1-3;Leg0Ase-6/L1.0-1;Leg0Ase-6/SG90 - Micro Servo 9g - Tower Pro.1-1;Leg0Ase-5/L1.0-1;Leg0Ase-5/SG90 - Micro Servo 9g - Tower Pro.1-1;Leg0Ase-4/L1.0-1;Leg0Ase-4/SG90 - Micro Servo 9g - Tower Pro.1-1;TailAs-1/F1.0-1;TailAs-1/SG90 - Micro Servo 9g - Tower Pro.1-1;B2-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1_1,-0.0305510790740942,0.0167741325759093,-0.0182493779419036,0,0,0,0.0229260891182904,3.85763370952868E-06,1.89277165572134E-06,4.36687715899513E-10,6.01502051568703E-06,-2.48827974729027E-10,5.27293792722868E-06,0,0,0,0,0,0,package://sc/meshes/Link1_1.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link1_1.STL,,LegAs4-1/L1-1;LegAs4-1/SG90 - Micro Servo 9g - Tower Pro.1-1;LegAs4-1/SG90 - Micro Servo 9g - Tower Pro.2-3,CS1_1,AX1_1,Joint1_1,revolute,-0.062392,0.061425,0.02595,0,0,0,BASE,0,0,1,100,100,-7,7,,,,,,,,
Link1_2,-0.0158388290918334,0.0300544158992501,0.0199694861387752,0,0,0,0.0237018015212768,7.56412841109665E-06,5.37713054967067E-08,2.47900674543859E-06,7.62621816650311E-06,-1.43125521180187E-06,9.66468972303202E-06,0,0,0,0,0,0,package://sc/meshes/Link1_2.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link1_2.STL,,LegAs4-1/L1.2-1;LegAs4-1/SG90 - Micro Servo 9g - Tower Pro.2-2;LegAs4-1/SG90 - Micro Servo 9g - Tower Pro.2-1,CS1_2,AX1_2,Joint1_2,revolute,-0.0480172012540558,0.00353176779071716,-0.0184000000000004,0,0,0,Link1_1,-0.499999999999997,-0.86602540378444,0,100,100,-7,7,,,,,,,,
Link1_3,0.016171988039484,0.0145112463016462,-0.0449869707899275,0,0,0,0.0578996972602494,4.96036614484442E-05,1.27231313084372E-06,9.17320129391968E-06,5.10707532414175E-05,-5.31073729488966E-06,7.47030700929341E-06,0,0,0,0,0,0,package://sc/meshes/Link1_3.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link1_3.STL,,LegAs4-1/L4-1;LegAs4-1/SG90 - Micro Servo 9g - Tower Pro.1-3,CS1_3,AX1_3,Joint1_3,revolute,-0.0497861313024054,0.0287440363093533,0.0399389722775644,0,0,0,Link1_2,-0.499999999999998,-0.86602540378444,0,100,100,-7,7,,,,,,,,
Link2_1,0.034845075167807,-0.000748713097714162,0.0182493777000012,0,0,0,0.022926095326487,2.75779226801906E-06,-1.22095586301876E-08,5.02513216807862E-10,7.11486267373788E-06,-2.95741168729654E-12,5.27293836480296E-06,0,0,0,0,0,0,package://sc/meshes/Link2_1.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link2_1.STL,,LegAs4-2/L1-1;LegAs4-2/SG90 - Micro Servo 9g - Tower Pro.2-3;LegAs4-2/SG90 - Micro Servo 9g - Tower Pro.1-1,CS2_1,AX2_1,Joint2_1,revolute,-0.082878,-0.0125,0.02595,3.1416,0,3.1416,BASE,0,0,-1,100,100,-7,7,,,,,,,,
Link2_2,-0.0287440363093526,0.018108473118737,0.0199694861387753,0,0,0,0.0237018015212768,7.53308353339347E-06,-2.85335952300167E-20,2.86251042360374E-06,7.6572630442063E-06,-3.81887575324653E-20,9.66468972303202E-06,0,0,0,0,0,0,package://sc/meshes/Link2_2.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link2_2.STL,,LegAs4-2/L1.2-1;LegAs4-2/SG90 - Micro Servo 9g - Tower Pro.2-1;LegAs4-2/SG90 - Micro Servo 9g - Tower Pro.2-2,CS2_2,AX2_2,Joint2_2,revolute,0.0433500000000012,-0.0209499999999987,0.0184000000000004,3.14159265358979,0,3.14159265358979,Link2_1,0,-1,0,100,100,-7,7,,,,,,,,
Link2_3,0.00674972944168441,0.0206531015833406,-0.0449869694528496,0,0,0,0.0578997001933118,4.8868579913715E-05,8.87141400882127E-10,1.05995945472986E-05,5.18058370888588E-05,-1.26326825912351E-08,7.47030739789493E-06,0,0,0,0,0,0,package://sc/meshes/Link2_3.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link2_3.STL,,LegAs4-2/L4-1;LegAs4-2/SG90 - Micro Servo 9g - Tower Pro.1-3,CS2_3,AX2_3,Joint2_3,revolute,-0.0574880726187073,0,0.0399389722775644,0,0,0,Link2_2,0,-1,0,100,100,-7,7,,,,,,,,
Link3_1,-0.0298023675063099,-0.0180709386947381,-0.018249377359046,0,0,0,0.0229260885202522,3.83648621668762E-06,-1.88056216106497E-06,4.33688370503816E-10,6.03616793825558E-06,2.53684826208611E-10,5.27293789875808E-06,0,0,0,0,0,0,package://sc/meshes/Link3_1.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link3_1.STL,,LegAs4-3/L1-1;LegAs4-3/SG90 - Micro Servo 9g - Tower Pro.2-3;LegAs4-3/SG90 - Micro Servo 9g - Tower Pro.1-1,CS3_1,AX3_1,Joint3_1,revolute,-0.062392,-0.086425,0.02595,0,0,0,BASE,0,0,1,100,100,-7,7,,,,,,,,
Link3_2,-0.0339473022105701,0.00131037958989745,0.0199694861387753,0,0,0,0.0237018015212768,7.5641284110967E-06,-5.37713054967398E-08,2.47900674543861E-06,7.62621816650305E-06,1.43125521180184E-06,9.66468972303203E-06,0,0,0,0,0,0,package://sc/meshes/Link3_2.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link3_2.STL,,LegAs4-3/SG90 - Micro Servo 9g - Tower Pro.2-1;LegAs4-3/L1.2-1;LegAs4-3/SG90 - Micro Servo 9g - Tower Pro.2-2,CS3_2,AX3_2,Joint3_2,revolute,-0.027067201254057,-0.0398182322092834,-0.0184000000000006,0,0,0,Link3_1,0.499999999999997,-0.866025403784441,0,100,100,-7,7,,,,,,,,
Link3_3,-0.00448111379492015,0.0212609753086896,-0.0449869693344172,0,0,0,0.0578996990572686,4.96021247751176E-05,-1.27142594271281E-06,9.18583406960913E-06,5.10722899167252E-05,5.28885669924225E-06,7.47030704841763E-06,0,0,0,0,0,0,package://sc/meshes/Link3_3.STL,1,1,1,1,0,0,0,0,0,0,package://sc/meshes/Link3_3.STL,,LegAs4-3/SG90 - Micro Servo 9g - Tower Pro.1-3;LegAs4-3/L4-1,CS3_3,AX3_3,Joint3_3,revolute,-0.0497861313024051,-0.028744036309354,0.0399389722775643,0,0,0,Link3_2,0.499999999999995,-0.866025403784441,0,100,100,-7,7,,,,,,,,
